tree_id,road_side,aspect,low_bryo,low_lichen,low_species,med_bryo,med_lichen,med_species,hig_byro,hig_lichen,hig_species
70435,WR,North,0,3,2,0,20,1,22,2,2
70435,WR,East,0,5,1,7,12,3,25,0,1
70435,WR,South,0,9,1,2,3,2,25,0,1
70435,WR,West,0,4,1,0,4,2,2,0,1
70436,WR,North,3,0,1,7,3,2,15,2,3
70436,WR,East,0,0,1,25,0,1,25,0,1
70436,WR,South,0,6,1,0,23,1,0,20,1
70436,WR,West,1,0,1,0,1,1,0,3,1
71080,WR,North,25,0,2,10,2,3,25,0,2
71080,WR,East,3,0,1,4,5,2,19,0,1
71080,WR,South,1,0,1,2,4,2,18,4,3
71080,WR,West,2,0,1,4,0,1,20,4,3
93813,gone,North,,,,,,,,,
93813,gone,East,,,,,,,,,
93813,gone,South,,,,,,,,,
93813,gone,West,,,,,,,,,
122190,ER,North,0,17,2,0,25,3,1,25,4
122190,ER,East,0,0,0,0,17,1,0,22,2
122190,ER,South,0,13,1,0,25,1,0,25,1
122190,ER,West,0,0,0,0,7,1,0,6,1
122194,ER,North,1,24,3,2,25,3,22,6,3
122194,ER,East,0,0,0,0,5,2,0,7,2
122194,ER,South,3,2,2,0,25,1,0,25,2
122194,ER,West,0,13,1,0,25,2,0,25,2
122193,ER,North,19,3,3,0,3,2,0,0,0
122193,ER,East,0,0,0,0,0,0,0,0,0
122193,ER,South,0,0,0,0,5,1,0,13,1
122193,ER,West,3,2,2,0,0,0,0,6,1
122189,SR,North,0,7,3,3,16,3,5,18,3
122189,SR,East,0,1,1,0,25,2,1,6,2
122189,SR,South,0,3,2,0,13,2,0,1,1
122189,SR,West,0,25,3,2,20,4,5,25,4
122191,SR,North,0,14,2,0,3,1,0,0,0
122191,SR,East,0,24,1,0,2,1,0,7,2
122191,SR,South,0,12,2,0,0,0,0,3,1
122191,SR,West,0,21,2,0,5,1,0,25,2
134705,SR,North,0,0,0,8,0,1,25,2,2
134705,SR,East,20,8,2,22,4,3,11,16,3
134705,SR,South,15,2,2,10,4,3,20,5,2
134705,SR,West,2,2,2,12,0,1,23,2,2
70210,NR,North,8,2,2,14,0,1,5,0,1
70210,NR,East,6,7,2,13,9,2,7,3,2
70210,NR,South,0,1,1,9,3,2,4,14,3
70210,NR,West,2,16,3,25,3,3,11,8,3
70209,NR,North,1,2,2,16,0,1,12,13,3
70209,NR,East,3,21,3,4,7,3,0,13,1
70209,NR,South,0,1,1,7,25,3,0,20,2
70209,NR,West,7,1,2,25,5,4,6,4,3
121352,SR,North,0,0,0,0,0,0,0,0,0
121352,SR,East,0,5,1,0,0,0,0,3,1
121352,SR,South,0,0,0,0,1,1,0,0,0
121352,SR,West,0,1,1,2,0,1,0,2,1
121354,SR,North,0,5,2,0,17,3,5,6,3
121354,SR,East,0,4,1,0,6,2,0,9,1
121354,SR,South,0,0,0,0,3,1,0,18,3
121354,SR,West,0,1,1,0,0,0,0,3,1
543,NR,North,0,0,0,0,0,0,17,3,3
543,NR,East,9,0,1,7,1,2,12,4,2
543,NR,South,0,0,0,0,5,2,0,0,0
543,NR,West,0,1,1,0,2,1,0,1,1
2543,WR,North,0,2,2,0,1,1,0,0,0
2543,WR,East,0,2,1,0,0,0,0,1,1
2543,WR,South,0,1,1,0,1,1,0,0,0
2543,WR,West,0,6,2,0,1,1,0,3,2
262141,SR,North,0,1,1,0,0,0,0,9,2
262141,SR,East,0,1,1,0,1,1,0,1,1
262141,SR,South,0,12,1,0,6,1,0,11,1
262141,SR,West,0,5,2,0,5,1,0,22,1
127850,,North,,,,,,,,,
127850,,East,,,,,,,,,
127850,,South,,,,,,,,,
127850,,West,,,,,,,,,
118087,WR,North,20,0,1,6,0,1,0,0,0
118087,WR,East,0,0,0,25,0,1,25,2,3
118087,WR,South,1,3,2,1,25,4,0,10,1
118087,WR,West,25,0,2,0,0,0,0,0,0
8074,SR,North,0,0,0,0,12,1,0,18,1
8074,SR,East,4,2,2,1,1,2,0,0,0
8074,SR,South,0,0,0,3,5,3,0,0,0
8074,SR,West,25,0,0,25,11,2,12,0,1
192360,ER,North,0,8,1,0,1,1,0,3,2
192360,ER,East,0,0,0,0,1,1,0,0,0
192360,ER,South,0,25,3,0,16,3,0,0,0
192360,ER,West,0,0,0,0,0,0,0,0,0
202703,SR,North,0,0,0,0,0,0,0,0,0
202703,SR,East,0,0,0,1,0,1,0,0,0
202703,SR,South,0,0,0,0,0,0,0,0,0
202703,SR,West,0,0,0,0,0,0,0,0,0
71200,ER,North,0,0,0,25,0,1,15,1,2
71200,ER,East,0,0,0,25,2,2,25,2,2
71200,ER,South,0,3,1,3,25,2,7,5,3
71200,ER,West,15,0,1,25,0,1,0,25,1
189662,ER,North,0,3,1,0,0,0,0,3,1
189662,ER,East,0,0,0,0,4,1,0,4,1
189662,ER,South,0,6,1,0,5,2,0,11,2
189662,ER,West,0,0,0,0,1,1,0,0,0
189659,ER,North,0,5,1,0,1,1,4,0,1
189659,ER,East,0,1,0,0,0,0,0,0,0
189659,ER,South,0,2,1,0,0,0,0,0,0
189659,ER,West,0,0,0,0,0,0,0,4,2
13335,NR,North,10,5,2,0,7,1,9,3,2
13335,NR,East,3,0,1,4,0,1,0,0,0
13335,NR,South,25,0,1,20,5,3,25,0,1
13335,NR,West,25,0,1,10,2,2,11,4,2
56630,WR,North,0,0,0,0,0,0,0,0,0
56630,WR,East,0,0,0,0,0,0,0,0,0
56630,WR,South,0,0,0,0,0,0,0,0,0
56630,WR,West,0,0,0,0,0,0,0,0,0
56632,WR,North,0,3,1,0,0,0,0,2,1
56632,WR,East,15,0,1,0,0,0,0,0,0
56632,WR,South,,,,,,,,,
56632,WR,West,0,0,0,0,6,1,0,25,3
56633,WR,North,0,0,0,0,0,0,0,0,0
56633,WR,East,6,0,1,0,0,0,0,1,1
56633,WR,South,0,1,1,0,2,1,0,4,1
56633,WR,West,0,0,0,0,1,1,0,0,0
8086,NR,North,6,0,1,0,5,1,0,2,1
8086,NR,East,0,0,0,0,9,2,0,2,1
8086,NR,South,0,0,0,0,18,2,0,7,3
8086,NR,West,0,0,0,0,7,2,0,12,4
200413,Dead,North,,,,,,,,,
200413,Dead,East,,,,,,,,,
200413,Dead,South,,,,,,,,,
200413,Dead,West,,,,,,,,,
204474,WR,North,0,0,0,0,0,0,0,0,0
204474,WR,East,0,0,0,0,0,0,0,0,0
204474,WR,South,0,5,2,0,0,1,0,0,0
204474,WR,West,0,0,0,0,0,1,0,0,0
204478,WR,North,0,1,1,0,0,0,0,2,1
204478,WR,East,0,0,0,0,0,0,0,0,0
204478,WR,South,0,1,1,0,15,1,0,18,3
204478,WR,West,0,0,1,9,14,3,4,11,3
137253,SR,North,0,3,1,0,0,0,0,7,2
137253,SR,East,0,14,1,1,2,3,0,0,1
137253,SR,South,7,7,2,3,20,4,0,12,2
137253,SR,West,1,9,2,10,6,3,14,6,4
183816,Median,North,0,2,1,0,0,0,0,16,1
183816,Median,East,0,0,0,0,2,1,0,2,2
183816,Median,South,0,11,1,0,4,1,0,9,1
183816,Median,West,0,0,0,0,3,12,0,19,1
193497,ER,North,0,5,2,0,0,0,0,0,0
193497,ER,East,0,0,0,0,0,1,0,0,0
193497,ER,South,0,0,0,0,0,0,0,0,0
193497,ER,West,0,0,0,0,0,0,0,0,1
189656,ER,North,0,0,0,0,5,2,0,5,3
189656,ER,East,0,6,2,0,1,1,0,4,1
189656,ER,South,0,0,0,0,2,2,0,9,3
189656,ER,West,0,0,0,0,2,1,0,4,1
180095,WR,North,2,0,2,25,0,3,16,0,2
180095,WR,East,0,0,0,0,0,2,10,1,3
180095,WR,South,2,0,2,19,1,2,0,8,2
180095,WR,West,1,2,3,14,0,2,18,0,2
180092,WR,North,2,0,1,24,0,1,22,0,3
180092,WR,East,0,0,0,20,0,0,16,0,3
180092,WR,South,0,1,1,2,5,2,1,1,2
180092,WR,West,17,0,3,1,0,2,1,5,3
62130,SR,North,0,0,0,2,12,3,7,8,2
62130,SR,East,4,21,2,2,4,2,3,10,2
62130,SR,South,7,11,2,11,8,3,1,19,3
62130,SR,West,0,11,1,4,3,3,1,12,3
156731,SR,North,0,0,0,0,0,0,0,0,0
156731,SR,East,1,17,2,0,15,2,0,10,2
156731,SR,South,16,1,3,0,6,1,0,2,1
156731,SR,West,10,18,3,0,11,2,0,13,3
189687,ER,North,0,0,0,0,2,1,0,0,0
189687,ER,East,0,0,0,0,3,1,0,0,0
189687,ER,South,0,0,0,0,9,2,0,4,1
189687,ER,West,0,0,0,0,0,0,0,0,0
200738,ER,North,0,0,0,0,7,1,0,0,0
200738,ER,East,0,0,0,0,3,2,0,10,1
200738,ER,South,0,11,1,0,12,1,0,5,1
200738,ER,West,0,1,1,0,0,0,0,11,2
169711,SR,North,0,25,1,2,6,3,1,13,2
169711,SR,East,0,20,2,0,25,2,0,25,2
169711,SR,South,2,12,3,0,0,0,0,5,2
169711,SR,West,0,19,2,0,12,1,0,17,2
62449,SR,North,0,0,0,3,11,2,4,2,3
62449,SR,East,0,0,0,13,6,2,8,15,3
62449,SR,South,0,25,2,0,25,2,0,0,0
62449,SR,West,0,0,0,0,23,3,2,21,3
62456,SR,North,0,4,2,1,25,3,7,2,2
62456,SR,East,25,0,1,7,4,2,16,3,3
62456,SR,South,2,10,2,0,12,2,0,6,1
62456,SR,West,0,5,1,0,16,3,1,6,3
62457,SR,North,0,8,1,0,25,2,1,25,2
62457,SR,East,6,5,3,0,4,2,0,1,1
62457,SR,South,2,12,3,0,20,2,0,18,1
62457,SR,West,0,0,0,4,4,2,0,25,2
35066,WR,North,0,0,0,0,5,1,0,3,1
35066,WR,East,0,11,1,0,0,0,0,11,2
35066,WR,South,0,5,1,0,12,2,0,23,3
35066,WR,West,0,3,1,0,0,0,0,23,0
118430,SR,North,5,23,3,2,25,3,0,4,1
118430,SR,East,0,0,0,0,1,1,0,1,1
118430,SR,South,8,5,3,4,8,3,2,3,3
118430,SR,West,0,0,0,4,2,3,0,0,0
13704,SR,North,20,0,0,0,20,1,8,5,2
13704,SR,East,2,0,1,0,9,1,0,13,2
13704,SR,South,0,0,0,0,0,0,0,4,2
13704,SR,West,0,16,1,0,9,1,0,8,1
13681,SR,North,0,0,0,25,0,2,25,0,1
13681,SR,East,1,8,3,0,3,2,0,6,3
13681,SR,South,0,0,0,0,0,0,0,0,0
13681,SR,West,25,0,1,25,0,1,25,0,1
17764,SR,North,0,0,0,0,0,0,0,0,0
17764,SR,East,0,20,1,0,2,1,0,0,0
17764,SR,South,0,0,0,0,10,2,0,20,1
17764,SR,West,0,0,0,0,0,0,0,0,0
16456,SR,North,2,6,2,4,11,2,0,5,1
16456,SR,East,22,0,1,25,0,2,20,0,2
16456,SR,South,11,1,2,12,2,2,1,3,2
16456,SR,West,20,0,2,25,0,3,25,0,2
16454,NR,North,23,0,2,22,0,2,25,0,3
16454,NR,East,24,0,1,6,0,1,3,22,3
16454,NR,South,6,0,1,11,0,1,7,0,2
16454,NR,West,25,0,2,16,0,2,23,0,2
16452,NR,North,25,0,1,22,0,1,24,0,1
16452,NR,East,25,0,2,25,0,2,25,0,1
16452,NR,South,0,4,1,4,0,1,0,1,1
16452,NR,West,25,0,3,25,0,2,17,0,2
281345,Removed,North,,,,,,,,,
281345,Removed,East,,,,,,,,,
281345,Removed,South,,,,,,,,,
281345,Removed,West,,,,,,,,,
17716,SR,North,0,0,0,19,5,3,4,11,3
17716,SR,East,0,25,3,0,4,2,0,0,0
17716,SR,South,0,0,0,0,0,0,0,0,0
17716,SR,West,0,0,0,0,4,1,0,3,2
10956,Removed,North,,,,,,,,,
10956,Removed,East,,,,,,,,,
10956,Removed,South,,,,,,,,,
10956,Removed,West,,,,,,,,,
57985,WR,North,3,1,2,0,14,1,0,9,1
57985,WR,East,0,4,1,1,13,3,6,5,3
57985,WR,South,0,0,0,0,25,3,1,24,3
57985,WR,West,17,5,3,0,7,2,4,17,2
57989,WR,North,0,0,0,14,3,2,4,10,3
57989,WR,East,0,2,1,5,6,2,1,25,3
57989,WR,South,0,0,0,0,0,0,0,6,1
57989,WR,West,0,0,0,0,25,3,0,25,3
13519,SR,North,16,5,2,22,0,1,23,1,2
13519,SR,East,0,1,1,0,12,2,0,4,1
13519,SR,South,0,0,0,0,3,1,0,5,2
13519,SR,West,0,2,2,0,6,1,0,3,1
13521,SR,North,16,3,2,0,7,2,0,0,0
13521,SR,East,23,0,1,4,15,3,4,12,2
13521,SR,South,3,16,3,8,6,4,8,6,3
13521,SR,West,15,2,2,1,5,2,0,25,1
13524,SR,North,4,6,2,2,14,3,1,7,2
13524,SR,East,0,0,0,0,0,0,0,0,0
13524,SR,South,0,15,1,0,4,1,0,5,1
13524,SR,West,2,4,3,3,0,2,5,7,2
16295,SR,North,22,0,2,25,0,3,25,0,1
16295,SR,East,14,0,1,25,0,1,23,0,1
16295,SR,South,0,4,1,0,6,1,0,0,0
16295,SR,West,20,0,1,6,10,3,0,25,1
16294,NR,North,22,0,2,25,0,1,25,0,1
16294,NR,East,0,4,1,11,7,2,0,8,1
16294,NR,South,0,0,0,7,1,2,4,5,2
16294,NR,West,24,0,4,21,0,3,22,0,3
82593,WR,North,17,0,1,8,16,3,11,12,3
82593,WR,East,22,0,1,6,7,2,3,6,3
82593,WR,South,1,5,2,6,16,4,0,23,1
82593,WR,West,0,0,0,0,0,0,0,17,1
82393,WR,North,3,8,2,3,11,3,0,12,1
82393,WR,East,0,8,1,0,9,1,0,0,0
82393,WR,South,4,0,1,0,0,0,0,2,1
82393,WR,West,0,0,0,0,12,2,0,2,2
230546,WR,North,0,0,0,0,0,0,0,3,1
230546,WR,East,0,5,1,0,12,2,0,25,2
230546,WR,South,0,0,0,1,25,3,4,25,3
230546,WR,West,0,0,0,0,12,1,0,20,2
5494,NR,North,25,0,3,25,0,2,25,1,2
5494,NR,East,13,0,2,11,7,5,25,2,4
5494,NR,South,0,16,3,0,15,3,0,1,1
5494,NR,West,20,0,2,25,0,1,25,0,2
118310,WR,North,0,2,1,12,12,3,16,11,2
118310,WR,East,0,12,3,0,14,2,0,0,0
118310,WR,South,0,15,1,4,20,4,14,15,3
118310,WR,West,1,9,2,0,0,0,0,2,1
180817,NR,North,0,0,0,0,5,1,0,10,1
180817,NR,East,0,0,0,0,0,0,1,2,2
180817,NR,South,0,0,0,0,0,0,0,0,0
180817,NR,West,0,0,0,0,6,1,2,0,1
193407,NR,North,0,0,0,0,0,0,0,3,1
193407,NR,East,0,0,0,0,0,0,0,0,0
193407,NR,South,0,0,0,0,0,0,0,0,0
193407,NR,West,0,0,0,0,0,0,0,0,0
3481,NR,North,0,2,1,0,10,3,7,10,3
3481,NR,East,0,0,0,0,20,2,0,9,2
3481,NR,South,0,0,0,0,7,1,0,9,2
3481,NR,West,0,0,0,0,0,0,0,1,1
3480,NR,North,0,0,0,0,0,0,0,5,1
3480,NR,East,0,0,0,0,0,0,0,0,0
3480,NR,South,0,0,0,0,0,0,0,2,1
3480,NR,West,0,0,0,0,1,1,0,6,1
3479,NR,North,0,0,0,0,0,0,0,0,0
3479,NR,East,0,0,0,0,0,0,0,0,0
3479,NR,South,0,0,0,0,0,0,0,3,1
3479,NR,West,0,0,0,0,0,0,0,3,2
3469,NR,North,0,0,0,0,0,0,0,0,0
3469,NR,East,0,0,0,0,0,0,0,0,0
3469,NR,South,0,0,0,0,0,0,0,2,1
3469,NR,West,0,0,0,0,0,0,0,0,0
3465,NR,North,0,0,0,0,0,0,0,0,0
3465,NR,East,0,0,0,0,0,0,0,0,0
3465,NR,South,0,0,0,0,0,0,0,0,0
3465,NR,West,0,0,0,0,0,0,0,0,0
168210,SR,North,0,0,0,4,0,2,0,5,1
168210,SR,East,0,6,1,0,8,2,12,9,3
168210,SR,South,0,7,2,0,0,2,8,12,4
168210,SR,West,0,0,2,0,8,2,0,6,2
193410,SR,North,0,0,1,0,0,0,0,7,3
193410,SR,East,0,0,1,0,10,1,0,16,2
193410,SR,South,2,23,3,0,17,3,0,11,2
193410,SR,West,0,1,1,0,4,2,0,5,1
168207,SR,North,0,0,0,0,0,1,12,9,3
168207,SR,East,0,2,1,0,6,2,6,3,3
168207,SR,South,0,20,3,0,8,2,3,10,3
168207,SR,West,0,0,1,0,15,3,1,22,3
124758,cut down,North,,,,,,,,,
124758,cut down,East,,,,,,,,,
124758,cut down,South,,,,,,,,,
124758,cut down,West,,,,,,,,,
183634,NR,North,18,0,1,0,25,3,0,23,4
183634,NR,East,0,8,2,0,25,2,0,23,3
183634,NR,South,0,0,0,0,14,3,0,6,1
183634,NR,West,3,18,2,0,25,3,0,25,3
183633,cut down,North,,,,,,,,,
183633,cut down,East,,,,,,,,,
183633,cut down,South,,,,,,,,,
183633,cut down,West,,,,,,,,,
183632,NR,North,0,0,0,0,20,3,0,19,2
183632,NR,East,0,4,1,0,10,2,0,14,2
183632,NR,South,0,4,1,0,8,2,0,6,1
183632,NR,West,0,15,2,1,0,3,0,16,2
183631,NR,North,2,0,1,0,0,0,0,25,3
183631,NR,East,0,22,3,0,25,4,0,23,4
183631,NR,South,0,0,1,0,0,2,0,3,1
183631,NR,West,7,2,3,0,14,2,1,12,4
183630,NR,North,1,3,2,0,2,1,0,6,2
183630,NR,East,0,0,1,0,0,0,0,0,2
183630,NR,South,0,0,0,0,3,1,0,3,1
183630,NR,West,0,0,1,0,2,1,0,12,1
183629,cut down,North,,,,,,,,,
183629,cut down,East,,,,,,,,,
183629,cut down,South,,,,,,,,,
183629,cut down,West,,,,,,,,,
183628,NR,North,7,0,1,0,7,1,0,10,2
183628,NR,East,0,0,0,6,2,3,0,7,3
183628,NR,South,0,0,0,0,6,3,0,6,3
183628,NR,West,7,17,3,2,24,4,3,20,5
137885,ivy covered? someone's property?,North,,,,,,,,,
137885,ivy covered? someone's property?,East,,,,,,,,,
137885,ivy covered? someone's property?,South,,,,,,,,,
137885,ivy covered? someone's property?,West,,,,,,,,,
13515,NR,North,1,9,3,0,22,3,0,25,2
13515,NR,East,25,1,2,8,3,2,0,9,2
13515,NR,South,13,9,3,13,4,2,6,13,3
13515,NR,West,0,9,2,1,18,3,0,10,2
113227,SR ,North,4,5,2,2,18,3,0,4,1
113227,SR ,East,12,0,1,1,2,2,0,3,1
113227,SR ,South,0,0,0,0,3,1,0,5,1
113227,SR ,West,0,15,3,1,20,2,1,22,2
13503,SR,North,15,0,1,25,0,1,25,0,1
13503,SR,East,12,0,1,25,0,2,25,0,2
13503,SR,South,0,0,0,0,0,1,0,0,1
13503,SR,West,11,0,1,17,0,3,25,1,2
188582,ER,North,0,13,2,0,4,2,0,9,2
188582,ER,East,0,10,2,0,2,2,0,4,2
188582,ER,South,0,14,2,0,15,3,0,18,3
188582,ER,West,0,14,3,0,12,2,0,3,2
17381,SR,North,0,6,2,0,9,2,0,22,2
17381,SR,East,0,22,1,0,6,1,0,0,0
17381,SR,South,22,0,1,0,2,2,0,16,2
17381,SR,West,0,25,1,0,17,3,0,8,2
176928,WR,North,3,5,2,0,22,1,0,21,2
176928,WR,East,0,5,1,0,9,3,2,7,4
176928,WR,South,2,5,4,1,7,3,3,16,3
176928,WR,West,0,16,2,0,20,2,5,25,3
14793,NR,North,19,1,3,0,2,2,0,6,3
14793,NR,East,1,0,1,23,0,3,25,0,2
14793,NR,South,9,0,1,14,5,3,8,0,2
14793,NR,West,13,3,3,1,22,4,1,13,3
14801,NR,North,2,8,3,3,13,3,7,14,2
14801,NR,East,0,9,2,0,18,2,0,4,2
14801,NR,South,0,1,2,8,12,4,0,25,4
14801,NR,West,0,17,3,0,25,3,0,17,3
13387,SR,North,25,0,2,25,0,2,25,0,2
13387,SR,East,25,0,2,24,0,2,25,0,2
13387,SR,South,25,0,2,1,1,2,2,0,2
13387,SR,West,10,0,1,25,0,2,25,0,2
199386,WR,North,1,0,1,20,3,4,0,25,3
199386,WR,East,0,0,0,0,1,1,0,6,2
199386,WR,South,2,4,3,0,25,3,7,19,4
199386,WR,West,18,0,2,0,25,2,0,24,3
16208,NR,North,24,0,1,0,0,0,2,6,3
16208,NR,East,0,13,1,24,1,3,4,0,1
16208,NR,South,0,0,0,2,3,2,1,0,1
16208,NR,West,0,12,1,0,0,0,0,0,0
9817,NR,North,0,1,1,0,19,2,4,17,3
9817,NR,East,0,2,1,0,18,2,11,6,2
9817,NR,South,0,0,0,0,0,0,0,2,1
9817,NR,West,0,0,0,12,16,2,25,0,2
10851,SR,North,1,0,1,21,1,3,1,5,4
10851,SR,East,0,0,0,0,0,0,0,11,2
10851,SR,South,0,11,1,1,18,2,0,1,1
10851,SR,West,18,0,2,25,0,1,0,5,2
62171,ER,North,18,1,2,23,0,2,21,0,2
62171,ER,East,25,0,2,25,0,2,11,1,3
62171,ER,South,0,1,1,1,0,1,3,3,2
62171,ER,West,0,0,0,4,3,2,11,9,2
114203,ER,North,18,0,1,25,0,1,25,0,2
114203,ER,East,2,1,2,7,0,1,5,3,2
114203,ER,South,5,0,1,7,3,2,10,0,1
114203,ER,West,9,0,1,21,0,3,19,0,2
114195,WR,North,23,1,2,25,1,2,24,2,2
114195,WR,East,1,0,1,2,2,2,10,3,3
114195,WR,South,0,1,1,0,0,0,2,0,1
114195,WR,West,0,2,2,0,5,2,2,0,1
162968,SR,North,0,5,1,1,16,3,0,4,1
162968,SR,East,0,0,0,0,0,0,0,22,2
162968,SR,South,0,15,2,0,25,4,0,23,4
162968,SR,West,0,0,0,0,12,2,3,2,2
26121,SR,North,0,0,0,0,0,0,1,0,1
26121,SR,East,0,0,0,0,0,0,6,0,1
26121,SR,South,0,0,0,0,0,0,0,0,0
26121,SR,West,0,0,0,0,9,1,0,0,0
22920,SR,North,0,0,0,0,0,0,2,0,1
22920,SR,East,0,0,0,0,0,0,1,0,1
22920,SR,South,0,0,0,0,0,0,0,0,0
22920,SR,West,0,0,0,0,0,0,0,0,0
23272,SR,North,0,0,0,1,0,1,0,0,0
23272,SR,East,0,0,0,0,0,0,0,0,0
23272,SR,South,0,0,0,0,0,0,0,0,0
23272,SR,West,0,0,0,0,0,0,0,0,0
24977,SR,North,0,0,0,0,0,0,14,0,2
24977,SR,East,0,0,0,0,0,0,0,2,1
24977,SR,South,0,0,0,0,0,0,0,0,0
24977,SR,West,0,0,0,0,0,0,0,0,0
25310,SR,North,0,0,0,0,0,0,0,0,0
25310,SR,East,0,0,0,0,0,0,5,0,1
25310,SR,South,0,0,0,0,0,0,1,0,1
25310,SR,West,0,0,0,0,0,0,13,0,1
13340,SR,North,0,0,0,0,0,0,15,0,1
13340,SR,East,0,0,0,0,0,0,1,0,1
13340,SR,South,0,0,0,0,0,0,0,1,2
13340,SR,West,0,0,0,0,0,0,0,0,0
15739,SR,North,0,0,0,0,0,0,0,0,0
15739,SR,East,0,0,0,12,0,1,0,0,0
15739,SR,South,0,0,0,0,0,0,0,0,0
15739,SR,West,0,0,0,0,0,0,0,0,0
16706,SR,North,0,0,0,0,0,0,0,0,0
16706,SR,East,0,0,0,0,0,0,3,0,1
16706,SR,South,0,0,0,0,0,0,7,0,1
16706,SR,West,0,0,0,0,0,0,0,0,0
22610,SR,North,0,0,0,0,0,0,0,0,0
22610,SR,East,0,0,0,0,0,0,0,0,0
22610,SR,South,0,0,0,0,0,0,0,3,1
22610,SR,West,0,0,0,0,0,0,0,0,0
2574,removal,North,,,,,,,,,
2574,removal,East,,,,,,,,,
2574,removal,South,,,,,,,,,
2574,removal,West,,,,,,,,,
160594,SR,North,0,0,0,0,4,1,0,0,0
160594,SR,East,0,9,2,0,16,2,0,7,2
160594,SR,South,0,10,1,0,4,2,0,2,1
160594,SR,West,0,3,1,0,2,2,0,4,2
169119,gone,North,,,,,,,,,
169119,gone,East,,,,,,,,,
169119,gone,South,,,,,,,,,
169119,gone,West,,,,,,,,,
169125,gone,North,,,,,,,,,
169125,gone,East,,,,,,,,,
169125,gone,South,,,,,,,,,
169125,gone,West,,,,,,,,,
194872,gone,North,,,,,,,,,
194872,gone,East,,,,,,,,,
194872,gone,South,,,,,,,,,
194872,gone,West,,,,,,,,,