tree_id,neighbourhood_name,road_side,mean_bryo_cover,mean_lichen_cover,mean_species_count,log_bryo_cover,sqrt_lichen_cover
543,kits,NR,3.75,1.4166666666666667,1.0833333333333333,1.55814461804655,1.1902380714238083
2543,kits,WR,0,1.5,1,0,1.224744871391589
2574,kits,removal,NA,NA,NA,NA,NA
3465,kits,NR,0,0,0,0,0
3469,kits,NR,0,0.16666666666666666,0.08333333333333333,0,0.408248290463863
3479,kits,NR,0,0.5,0.25,0,0.7071067811865476
3480,kits,NR,0,1.1666666666666667,0.3333333333333333,0,1.0801234497346435
3481,kits,NR,0.5833333333333334,5.666666666666667,1.25,0.45953232937844024,2.3804761428476167
5494,kits,NR,16.166666666666668,3.5,2.5,2.842969519001581,1.8708286933869707
8074,kits,SR,5.833333333333333,4.083333333333333,1,1.9218125974762528,2.0207259421636903
8086,kits,NR,0.5,5.166666666666667,1.4166666666666667,0.4054651081081644,2.273030282830976
9335,renfrew,NR,21.583333333333332,2,2.25,3.1172121710917007,1.4142135623730951
9817,kits,NR,4.333333333333333,6.75,1.3333333333333333,1.6739764335716716,2.598076211353316
10851,kits,SR,5.583333333333333,4.333333333333333,1.5833333333333333,1.8845412026790211,2.0816659994661326
10956,kits,Removed,NA,NA,NA,NA,NA
13335,kits,NR,11.833333333333334,2.1666666666666665,1.4166666666666667,2.5520459526256287,1.4719601443879744
13340,kits,SR,1.3333333333333333,0.08333333333333333,0.3333333333333333,0.8472978603872034,0.28867513459481287
13387,kits,SR,19.75,0.08333333333333333,1.9166666666666667,3.0325462466767075,0.28867513459481287
13503,kits,SR,15,0.08333333333333333,1.3333333333333333,2.772588722239781,0.28867513459481287
13515,kits,NR,5.583333333333333,11,2.4166666666666665,1.8845412026790211,3.3166247903554
13519,kits,SR,5.083333333333333,3.5,1.3333333333333333,1.8055527913603908,1.8708286933869707
13521,kits,SR,6.833333333333333,8.083333333333334,2.0833333333333335,2.0583881324820035,2.8431203515386634
13524,kits,SR,1.4166666666666667,5.166666666666667,1.4166666666666667,0.8823891801984738,2.273030282830976
13681,kits,SR,10.5,1.4166666666666667,1.1666666666666667,2.4423470353692043,1.1902380714238083
13704,kits,SR,2.5,7,1,1.252762968495368,2.6457513110645907
14793,kits,NR,9.5,4.333333333333333,2.5,2.3513752571634776,2.0816659994661326
14801,kits,NR,1.6666666666666667,13.583333333333334,2.75,0.9808292530117263,3.685557397915997
15739,kits,SR,1,0,0.08333333333333333,0.6931471805599453,0
16208,kits,NR,4.75,2.9166666666666665,1.0833333333333333,1.749199854809259,1.707825127659933
16294,kits,NR,13.416666666666666,2.0833333333333335,1.8333333333333333,2.6683849447097785,1.4433756729740645
16295,kits,SR,13.333333333333334,3.75,1.3333333333333333,2.662587827025453,1.9364916731037085
16452,kits,NR,18.083333333333332,0.4166666666666667,1.5,2.948815353766239,0.6454972243679028
16454,kits,NR,15.916666666666666,1.8333333333333333,1.8333333333333333,2.828299329253787,1.35400640077266
16456,kits,SR,13.916666666666666,2.3333333333333335,1.9166666666666667,2.7024791560527546,1.5275252316519468
16706,kits,SR,0.8333333333333334,0,0.16666666666666666,0.6061358035703156,0
17164,renfrew,SR,2.4444444444444446,16.77777777777778,3.5555555555555554,1.236762627148927,4.096068575814836
17381,kits,SR,1.8333333333333333,11.083333333333334,1.5833333333333333,1.041453874828161,3.3291640592396967
17716,kits,SR,1.9166666666666667,4.333333333333333,1.1666666666666667,1.0704414117014134,2.0816659994661326
17764,kits,SR,0,4.333333333333333,0.4166666666666667,0,2.0816659994661326
21290,renfrew,SR,15.75,5.916666666666667,1.5833333333333333,2.8183982582710754,2.4324199198877374
21298,renfrew,SR,19.75,1,2.4166666666666665,3.0325462466767075,1
21340,renfrew,Removed,NA,NA,NA,NA,NA
22610,kits,SR,0,0.25,0.08333333333333333,0,0.5
22920,kits,SR,0.25,0,0.16666666666666666,0.22314355131420976,0
23272,kits,SR,0.08333333333333333,0,0.08333333333333333,0.08004270767353636,0
24592,renfrew,NR,0.16666666666666666,11.5,1.6666666666666667,0.15415067982725836,3.391164991562634
24977,kits,SR,1.1666666666666667,0.16666666666666666,0.25,0.7731898882334819,0.408248290463863
25310,kits,SR,1.5833333333333333,0,0.25,0.9490805546971458,0
25613,renfrew,WR,0.9166666666666666,18.833333333333332,3.0833333333333335,0.6505875661411493,4.339738855430512
26121,kits,SR,0.5833333333333334,0.75,0.25,0.45953232937844024,0.8660254037844386
26357,renfrew,NR,0,12.75,1.8333333333333333,0,3.570714214271425
27464,renfrew,Removed,NA,NA,NA,NA,NA
27538,renfrew,SR,5.916666666666667,12.916666666666666,3,1.9339339580085977,3.593976442141304
35066,kits,WR,0,8,1,0,2.8284271247461903
37015,renfrew,WR,15.916666666666666,4.083333333333333,1.75,2.828299329253787,2.0207259421636903
37829,renfrew,NR,2.3333333333333335,16.75,2.5,1.2039728043259361,4.092676385936225
38536,renfrew,SR,1.6666666666666667,2.8333333333333335,1.5,0.9808292530117263,1.6832508230603465
38537,renfrew,SR,0,3.1666666666666665,1.3333333333333333,0,1.7795130420052185
38577,renfrew,SR,4.555555555555555,5.888888888888889,1.6666666666666667,1.7147984280919266,2.4267032964268394
56630,kits,WR,0,0,0,0,0
56632,kits,WR,1.6666666666666667,4,0.7777777777777778,0.9808292530117263,2
56633,kits,WR,0.5,0.75,0.5,0.4054651081081644,0.8660254037844386
57985,kits,WR,2.6666666666666665,10.333333333333334,2,1.2992829841302609,3.2145502536643185
57989,kits,WR,2,8.5,1.5,1.0986122886681098,2.9154759474226504
61118,renfrew,ER,0,14.666666666666666,2,0,3.8297084310253524
61129,renfrew,ER,0.5,15,2.25,0.4054651081081644,3.872983346207417
61137,renfrew,ER,0.5833333333333334,10.166666666666666,2.1666666666666665,0.45953232937844024,3.1885210782848317
61724,renfrew,NR,1.6666666666666667,12.416666666666666,2.6666666666666665,0.9808292530117263,3.5237290853109955
61726,renfrew,NR,1,8.5,2.25,0.6931471805599453,2.9154759474226504
62130,kits,SR,3.5,9.916666666666666,2.1666666666666665,1.5040773967762742,3.1490739379485304
62171,kits,ER,11.833333333333334,1.5,1.75,2.5520459526256287,1.224744871391589
62449,kits,SR,2.5,10.666666666666666,1.6666666666666667,1.252762968495368,3.265986323710904
62456,kits,SR,4.916666666666667,7.75,2.0833333333333335,1.777773227253315,2.7838821814150108
62457,kits,SR,1.0833333333333333,12.25,1.75,0.7339691750802003,3.5
62547,renfrew,WR,0.08333333333333333,4.75,1,0.08004270767353636,2.179449471770337
66384,renfrew,NR,0.8333333333333334,15.25,2.5,0.6061358035703156,3.905124837953327
66929,renfrew,ER,1.25,12.75,2.1666666666666665,0.8109302162163288,3.570714214271425
67207,renfrew,Removed,NA,NA,NA,NA,NA
70209,kits,NR,6.75,9.333333333333334,2.3333333333333335,2.0476928433652555,3.0550504633038935
70210,kits,NR,8.666666666666666,5.5,2.0833333333333335,2.268683541318364,2.345207879911715
70435,kits,WR,6.916666666666667,5.166666666666667,1.5,2.0689702418125404,2.273030282830976
70436,kits,WR,6.333333333333333,4.833333333333333,1.25,1.992430164690206,2.1984843263788196
71080,kits,WR,11.083333333333334,1.5833333333333333,1.8333333333333333,2.4918270926325743,1.2583057392117916
71200,kits,ER,11.666666666666666,5.25,1.3333333333333333,2.538973871058276,2.29128784747792
72784,renfrew,WR,0.4166666666666667,12.833333333333334,2.3333333333333335,0.3483066942682158,3.582364210034113
72794,renfrew,WR,0,8.666666666666666,2.0833333333333335,0,2.943920288775949
72797,renfrew,NR,4.833333333333333,11.916666666666666,2.5,1.7635885922613586,3.452052529534663
75524,renfrew,WR,0.9166666666666666,18.583333333333332,2.5,0.6505875661411493,4.310839052125854
75529,renfrew,ER,11.583333333333334,3.75,2.0833333333333335,2.532373187026924,1.9364916731037085
75572,renfrew,WR ,18.166666666666668,4.083333333333333,2.25,2.9531726591351952,2.0207259421636903
79432,renfrew,ER,0,13.416666666666666,1.3333333333333333,0,3.662876829305985
79585,renfrew,NR,0,0.9166666666666666,0.3333333333333333,0,0.9574271077563381
79590,renfrew,NR,9.75,1.6666666666666667,1.3333333333333333,2.3749057545736716,1.2909944487358056
82393,kits,WR,0.8333333333333334,5.333333333333333,1.1666666666666667,0.6061358035703156,2.309401076758503
82593,kits,WR,6.166666666666667,8.5,1.75,1.9694406464655074,2.9154759474226504
83688,renfrew,SR,0,7.166666666666667,0.75,0,2.6770630673681683
85645,renfrew,SR,0,11.166666666666666,1.75,0,3.3416562759605704
88920,renfrew,WR,1.9166666666666667,7.333333333333333,1.4166666666666667,1.0704414117014134,2.70801280154532
88968,renfrew,SR,6.25,5.666666666666667,2.0833333333333335,1.9810014688665833,2.3804761428476167
88985,renfrew,SR,0.2222222222222222,5.333333333333333,1,0.20067069546215124,2.309401076758503
88988,renfrew,SR,8.333333333333334,3.7777777777777777,1.8888888888888888,2.2335922215070942,1.9436506316151
90862,renfrew,ER,0,0.8333333333333334,0.25,0,0.9128709291752769
93813,kits,gone,NA,NA,NA,NA,NA
97662,renfrew,NR,3.1666666666666665,4.583333333333333,2,1.4271163556401456,2.140872096444188
98649,renfrew,,NA,NA,NA,NA,NA
98768,renfrew,WR,0.25,15.416666666666666,2.1666666666666665,0.22314355131420976,3.926406329796582
98771,renfrew,WR,0,4.5,1.3333333333333333,0,2.1213203435596424
98779,renfrew,SR,0,14.083333333333334,1.8333333333333333,0,3.7527767497325675
98786,renfrew,WR,0,5.25,1.25,0,2.29128784747792
98790,renfrew,WR,0,14.583333333333334,1.6666666666666667,0,3.8188130791298667
98816,renfrew,WR,0,13.333333333333334,1.9166666666666667,0,3.6514837167011076
98818,renfrew,WR,0.08333333333333333,10.083333333333334,1.5833333333333333,0.08004270767353636,3.1754264805429417
98821,renfrew,WR,0,11.25,1.8333333333333333,0,3.3541019662496847
98822,renfrew,WR,0,11.916666666666666,1.25,0,3.452052529534663
98831,renfrew,WR,0,9.333333333333334,1.7272727272727273,0,3.0550504633038935
98842,renfrew,WR,0,3.25,0.8333333333333334,0,1.8027756377319946
98851,renfrew,Removed,NA,NA,NA,NA,NA
98855,renfrew,WR,0.08333333333333333,0.5833333333333334,0.4166666666666667,0.08004270767353636,0.7637626158259734
98856,renfrew,WR,0.08333333333333333,3.6666666666666665,1.5,0.08004270767353636,1.9148542155126762
98857,renfrew,WR,0,4.75,1.4166666666666667,0,2.179449471770337
100415,renfrew,WR,0,14.25,2,0,3.774917217635375
107521,renfrew,ER,0,14.666666666666666,1.9166666666666667,0,3.8297084310253524
107898,renfrew,WR,12,7.833333333333333,2.4166666666666665,2.5649493574615367,2.798809270624444
107939,renfrew,SR,0.9166666666666666,10.916666666666666,2.4166666666666665,0.6505875661411493,3.304037933599835
108046,renfrew,ER,9.25,5.916666666666667,2.25,2.327277705584417,2.4324199198877374
111586,renfrew,ER,0.8333333333333334,4.833333333333333,1.5833333333333333,0.6061358035703156,2.1984843263788196
111587,renfrew,ER,0.6666666666666666,16.666666666666668,1.9166666666666667,0.5108256237659906,4.08248290463863
112265,renfrew,WR,0,16.083333333333332,0.8333333333333334,0,4.010403138505321
112266,renfrew,NA Cut,NA,NA,NA,NA,NA
113227,kits,SR ,1.75,8.083333333333334,1.5833333333333333,1.0116009116784799,2.8431203515386634
113915,renfrew,WR,0,8.583333333333334,1.3333333333333333,0,2.9297326385411577
114195,kits,WR,7.416666666666667,1.4166666666666667,1.5833333333333333,2.1302138670532593,1.1902380714238083
114203,kits,ER,12.75,0.5833333333333334,1.5833333333333333,2.6210388241125804,0.7637626158259734
118087,kits,WR,8.583333333333334,3.3333333333333335,1.25,2.26002547857525,1.8257418583505538
118310,kits,WR,3.9166666666666665,9.333333333333334,1.8333333333333333,1.5926307941177191,3.0550504633038935
118430,kits,SR,2.0833333333333335,6,1.75,1.1260112628562242,2.449489742783178
118681,renfrew,NR,0.5,17.916666666666668,2.9166666666666665,0.4054651081081644,4.232808366400098
121352,kits,SR,0.16666666666666666,1,0.5,0.15415067982725836,1
121354,kits,SR,0.4166666666666667,6,1.5,0.3483066942682158,2.449489742783178
121806,renfrew,ER,0,8.833333333333334,1.5,0,2.972092416687835
122189,kits,SR,1.3333333333333333,13.333333333333334,2.5,0.8472978603872034,3.6514837167011076
122190,kits,ER,0.08333333333333333,15.166666666666666,1.4166666666666667,0.08004270767353636,3.8944404818493075
122191,kits,SR,0,9.666666666666666,1.25,0,3.1091263510296048
122193,kits,ER,1.8333333333333333,2.6666666666666665,0.8333333333333334,1.041453874828161,1.632993161855452
122194,kits,ER,2.3333333333333335,15.166666666666666,1.9166666666666667,1.2039728043259361,3.8944404818493075
123771,renfrew,WR,0.5,12,2,0.4054651081081644,3.4641016151377544
124758,kits,cut down,NA,NA,NA,NA,NA
127850,kits,,NA,NA,NA,NA,NA
129030,renfrew,WR,0,7.25,0.9166666666666666,0,2.692582403567252
131757,renfrew,WR,0,9.666666666666666,1.8333333333333333,0,3.1091263510296048
134208,renfrew,WR,0,7.333333333333333,0.9166666666666666,0,2.70801280154532
134705,kits,SR,14,3.75,1.9166666666666667,2.70805020110221,1.9364916731037085
137253,kits,SR,3,7.166666666666667,2.0833333333333335,1.3862943611198906,2.6770630673681683
137885,kits,ivy covered? someone's property?,NA,NA,NA,NA,NA
146182,renfrew,NR,0.6666666666666666,8,2.4166666666666665,0.5108256237659906,2.8284271247461903
146424,renfrew,ER,0,5.25,1.25,0,2.29128784747792
147271,renfrew,SR,NA,NA,NA,NA,NA
147935,renfrew,ER,3.4166666666666665,7.583333333333333,2.5,1.4853852637641214,2.753785273643051
150194,renfrew,NR,17.166666666666668,3.8333333333333335,2.4166666666666665,2.899588413001089,1.9578900207451218
152428,renfrew,SR,0,17.083333333333332,2.4166666666666665,0,4.133198922545748
154665,renfrew,NR,5.75,3.25,1.4166666666666667,1.9095425048844386,1.8027756377319946
156305,renfrew,WR,11.083333333333334,4.75,1.5833333333333333,2.4918270926325743,2.179449471770337
156731,kits,SR,2.25,7.75,1.5833333333333333,1.1786549963416462,2.7838821814150108
156795,renfrew,SR,4.444444444444445,14.333333333333334,3.5555555555555554,1.6945957207744073,3.7859388972001824
157041,renfrew,SR,6.333333333333333,7.666666666666667,2.111111111111111,1.992430164690206,2.7688746209726918
157044,renfrew,SR,2.111111111111111,9.88888888888889,1.7777777777777777,1.1349799328389845,3.1446603773522015
157046,renfrew,SR,0,10.11111111111111,1.3333333333333333,0,3.1797973380564852
157048,renfrew,SR,5.5,13,3,1.8718021769015913,3.605551275463989
157055,renfrew,SR,2.5555555555555554,14.222222222222221,3,1.2685113254635072,3.7712361663282534
157097,renfrew,Tree cage,NA,NA,NA,NA,NA
157098,renfrew,SR,0,6.666666666666667,1.4444444444444444,0,2.581988897471611
158213,renfrew,SR,2.4444444444444446,10.666666666666666,3,1.236762627148927,3.265986323710904
160594,kits,SR,0,5.083333333333333,1.3333333333333333,0,2.254624876411447
161077,renfrew,SR,1.3333333333333333,5.666666666666667,1,0.8472978603872034,2.3804761428476167
162968,kits,SR,0.3333333333333333,10.333333333333334,1.75,0.28768207245178085,3.2145502536643185
163920,renfrew,NR,0.8333333333333334,5.583333333333333,2.1666666666666665,0.6061358035703156,2.362907813126304
163968,renfrew,NR,2.4166666666666665,4.833333333333333,1.9166666666666667,1.2286654169163074,2.1984843263788196
165414,renfrew,SR,6.416666666666667,3.6666666666666665,2,2.0037297199441397,1.9148542155126762
166808,renfrew,SR,5,19.083333333333332,3.1666666666666665,1.791759469228055,4.368447474027052
167113,renfrew,WR,0.4166666666666667,16.583333333333332,2.5833333333333335,0.3483066942682158,4.0722639076235385
167479,renfrew,WR,0.08333333333333333,16.583333333333332,2.8333333333333335,0.08004270767353636,4.0722639076235385
168207,kits,SR,1.8333333333333333,7.916666666666667,2.0833333333333335,1.041453874828161,2.8136571693556887
168210,kits,SR,2,5.083333333333333,1.9166666666666667,1.0986122886681098,2.254624876411447
169119,kits,gone,NA,NA,NA,NA,NA
169125,kits,gone,NA,NA,NA,NA,NA
169711,kits,SR,0.4166666666666667,14.916666666666666,1.8333333333333333,0.3483066942682158,3.8622100754188224
175679,renfrew,WR,0.5833333333333334,2.9166666666666665,0.9166666666666666,0.45953232937844024,1.707825127659933
175682,renfrew,WR,0,2.5833333333333335,0.9166666666666666,0,1.6072751268321592
175724,renfrew,ER,8.666666666666666,4.083333333333333,2.0833333333333335,2.268683541318364,2.0207259421636903
175796,renfrew,ER,0.75,5.5,1.4166666666666667,0.5596157879354227,2.345207879911715
176928,kits,WR,1.3333333333333333,13.166666666666666,2.5,0.8472978603872034,3.6285901761795403
180092,kits,WR,8.833333333333334,1,1.75,2.2857779746776643,1
180095,kits,WR,8.916666666666666,1,2.0833333333333335,2.294216843323529,1
180817,kits,NR,0.25,1.9166666666666667,0.5,0.22314355131420976,1.3844373104863459
181756,renfrew,SR,0.25,1.25,0.5833333333333334,0.22314355131420976,1.118033988749895
181757,renfrew,SR,8.416666666666666,0.9166666666666666,1,2.24248116892434,0.9574271077563381
181758,renfrew,SR,0.16666666666666666,4,0.9166666666666666,0.15415067982725836,2
181759,renfrew,SR,5.333333333333333,5.666666666666667,1.5833333333333333,1.8458266904983307,2.3804761428476167
181760,renfrew,SR,4.166666666666667,1.8333333333333333,0.75,1.6422277352570913,1.35400640077266
183628,kits,NR,2.0833333333333335,8.25,2.3333333333333335,1.1260112628562242,2.8722813232690143
183629,kits,cut down,NA,NA,NA,NA,NA
183630,kits,NR,0.08333333333333333,2.5833333333333335,1.0833333333333333,0.08004270767353636,1.6072751268321592
183631,kits,NR,0.8333333333333334,10.5,2.3333333333333335,0.6061358035703156,3.24037034920393
183632,kits,NR,0.08333333333333333,9.666666666666666,1.75,0.08004270767353636,3.1091263510296048
183633,kits,cut down,NA,NA,NA,NA,NA
183634,kits,NR,1.75,16,2.25,1.0116009116784799,4
183816,kits,Median,0,5.666666666666667,1.75,0,2.3804761428476167
184553,renfrew,ER,0.25,6.083333333333333,1.3333333333333333,0.22314355131420976,2.4664414311581235
188582,kits,ER,0,9.833333333333334,2.25,0,3.13581462037113
189656,kits,ER,0,3.1666666666666665,1.3333333333333333,0,1.7795130420052185
189659,kits,ER,0.3333333333333333,1.0833333333333333,0.5,0.28768207245178085,1.0408329997330663
189662,kits,ER,0,3.0833333333333335,0.8333333333333334,0,1.7559422921421233
189687,kits,ER,0,1.5,0.4166666666666667,0,1.224744871391589
191758,renfrew,NR,0.4444444444444444,6.444444444444445,1.2222222222222223,0.36772478012531734,2.5385910352879693
191761,renfrew,NR,1.3333333333333333,8.555555555555555,1.4444444444444444,0.8472978603872034,2.9249881291307074
192360,kits,ER,0,4.5,0.9166666666666666,0,2.1213203435596424
193407,kits,NR,0,0.25,0.08333333333333333,0,0.5
193410,kits,SR,0.16666666666666666,7.833333333333333,1.6666666666666667,0.15415067982725836,2.798809270624444
193497,kits,ER,0,0.4166666666666667,0.3333333333333333,0,0.6454972243679028
194872,kits,gone,NA,NA,NA,NA,NA
199386,kits,WR,4,11,2.3333333333333335,1.6094379124341003,3.3166247903554
200413,kits,Dead,NA,NA,NA,NA,NA
200738,kits,ER,0,5,0.8333333333333334,0,2.23606797749979
202703,kits,SR,0.08333333333333333,0,0.08333333333333333,0.08004270767353636,0
204474,kits,WR,0,0.4166666666666667,0.3333333333333333,0,0.6454972243679028
204478,kits,WR,1.0833333333333333,5.166666666666667,1.1666666666666667,0.7339691750802003,2.273030282830976
218895,renfrew,NR,0.9166666666666666,14.75,2.0833333333333335,0.6505875661411493,3.840572873934304
221256,renfrew,NR,0,13.416666666666666,2,0,3.662876829305985
221258,renfrew,NR,0,7.083333333333333,1,0,2.661453237111885
223428,renfrew,ER,0,2.5,0.6666666666666666,0,1.5811388300841898
226758,renfrew,SR,1.0833333333333333,6.25,2.25,0.7339691750802003,2.5
228044,renfrew,ER,0,4.916666666666667,0.6666666666666666,0,2.217355782608345
230546,kits,WR,0.4166666666666667,10.583333333333334,1.25,0.3483066942682158,3.253203549323856
245565,renfrew,Median E/W,4.416666666666667,12.75,2.25,1.6894806201076369,3.570714214271425
258656,renfrew,NR,1.5,5.333333333333333,1.5,0.9162907318741551,2.309401076758503
262141,kits,SR,0,6.166666666666667,1.0833333333333333,0,2.48327740429189
275326,renfrew,ER,0.6666666666666666,6.583333333333333,2.1666666666666665,0.5108256237659906,2.565800719723442
280627,renfrew,NR,2.4166666666666665,9.5,2.1666666666666665,1.2286654169163074,3.082207001484488
280628,renfrew,NR,0.6666666666666666,7.416666666666667,2.25,0.5108256237659906,2.7233557730613653
281345,kits,Removed,NA,NA,NA,NA,NA
